Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
Q96G23,-0.39815025455117947,22.060856298715784,-1.768257714897657,0.08231528537772256,0.4382900666715719,-4.554442352133904,Q96G23,Ceramide synthase 2,CERS2,n.s.,n.s.
Q01518,0.24052884134531638,25.027641381415005,1.7617097215238304,0.08342685676544684,0.44253870261671235,-4.564904099018518,Q01518,Adenylyl cyclase-associated protein 1,CAP1,n.s.,n.s.
P35232,-0.25302237057729826,25.976613722675722,-1.759215921780483,0.08385346586030104,0.4428867976849011,-4.568879353298261,P35232,Prohibitin,PHB,n.s.,n.s.
P33176;Q12840;O60282,0.29182538626342946,23.344444607155047,1.757661797221996,0.08412024222505562,0.4428867976849011,-4.571354173916818,P33176,Kinesin-1 heavy chain,KIF5B,n.s.,n.s.
P10155,-0.43920603251200774,21.983708181182106,-1.7544160457031763,0.08467967201853001,0.44417478519756814,-4.576516484736417,P10155,60 kDa SS-A/Ro ribonucleoprotein,TROVE2,n.s.,n.s.
P17655,-0.5762314395883976,22.577976316070618,-1.747100478248382,0.08595189587583875,0.4491782410400314,-4.588120537476809,P17655,Calpain-2 catalytic subunit,CAPN2,n.s.,n.s.
Q14258,0.20395284013726567,21.69217284763052,1.744909138413688,0.08632471776825748,0.44946190690410076,-4.591558549071571,Q14258,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,n.s.,n.s.
O15144,0.1997590295082965,23.183897158464642,1.7361749384373377,0.08787002839058358,0.45459389951225176,-4.605341673950091,O15144,Actin-related protein 2/3 complex subunit 2,ARPC2,n.s.,n.s.
O60701,-0.9536094195295632,22.633864140882636,-1.7357635557427011,0.08795473746764332,0.45459389951225176,-4.606017726826533,O60701,UDP-glucose 6-dehydrogenase,UGDH,n.s.,n.s.
P50502;Q8NFI4;Q8IZP2,0.31820096604855763,22.771229841492836,1.7297799947740422,0.08902730269023539,0.45745266727374345,-4.61542174340703,P50502;Q8NFI4;Q8IZP2,Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4,ST13;ST13P5;ST13P4,n.s.,n.s.
P14618,0.3725566886150311,27.15500031076806,1.729064593707624,0.08915626045377707,0.45745266727374345,-4.616544152802902,P14618,Pyruvate kinase isozymes M1/M2,PKM2,n.s.,n.s.
Q99829,0.5048834452419193,20.633539508604496,1.7196678599455026,0.09086448794905057,0.4645282336815592,-4.631248302603579,Q99829,Copine-1,CPNE1,n.s.,n.s.
Q9NRV9,-0.7391037583269409,20.617309620721283,-1.7099074246420463,0.09266734058215821,0.47085868830662286,-4.646445516617312,Q9NRV9,Heme-binding protein 1,HEBP1,n.s.,n.s.
Q96TC7,-0.40213291759894787,20.319347677884064,-1.7079569876098848,0.09303111672058227,0.47085868830662286,-4.649473086481658,Q96TC7,Regulator of microtubule dynamics protein 3,FAM82A2,n.s.,n.s.
Q8TE77,-0.5779586413121685,20.404594305383394,-1.7063977936229868,0.09332276729799113,0.47085868830662286,-4.651891117724033,Q8TE77,Protein phosphatase Slingshot homolog 3,SSH3,n.s.,n.s.
