Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
P29728,-0.29654258878717243,21.07404796259587,-0.8187846305729563,0.41628530008715126,0.7806033994676709,-5.690530146616534,P29728,2-5-oligoadenylate synthase 2,OAS2,n.s.,n.s.
O43684,-0.10469328276271739,22.05401608104344,-0.817379153677472,0.41707410517937127,0.7806033994676709,-5.691624811107828,O43684,Mitotic checkpoint protein BUB3,BUB3,n.s.,n.s.
Q9UL25,0.31131197109274567,21.500147386267006,0.816386314084626,0.4176440497557472,0.7806033994676709,-5.692384333680558,Q9UL25,Ras-related protein Rab-21,RAB21,n.s.,n.s.
P62424,-0.07671890017904559,25.046331552898238,-0.8143922636751311,0.4187687007217463,0.7806033994676709,-5.693929327484219,P62424,60S ribosomal protein L7a,RPL7A,n.s.,n.s.
Q12888,0.11214030204245873,20.385690911550707,0.8139389285874364,0.4190262608121379,0.7806033994676709,-5.694278375722983,Q12888,Tumor suppressor p53-binding protein 1,TP53BP1,n.s.,n.s.
P06753,0.14524769969681728,24.112974965014416,0.8138458585025633,0.4190862483280633,0.7806033994676709,-5.694342622815226,P06753,Tropomyosin alpha-3 chain,TPM3,n.s.,n.s.
Q9H3N1,0.15908775832004807,21.71630772070099,0.8132772779981283,0.419409438696174,0.7806033994676709,-5.694780092690342,Q9H3N1,Thioredoxin-related transmembrane protein 1,TMX1,n.s.,n.s.
P10599,0.2471681043984688,21.718078123081714,0.8123797117714157,0.41991993587587817,0.7806033994676709,-5.69547007921079,P10599,Thioredoxin,TXN,n.s.,n.s.
P55209,-0.21206830627851758,22.736595795264204,-0.8106956395939615,0.4208787744576402,0.7806033994676709,-5.696762670239316,P55209,Nucleosome assembly protein 1-like 1,NAP1L1,n.s.,n.s.
Q92945,0.1299800139682361,23.732367851483268,0.8098185250359953,0.42137868784527743,0.7806033994676709,-5.697434852925415,Q92945,Far upstream element-binding protein 2,KHSRP,n.s.,n.s.
Q13310,0.1132819449748581,20.778613465099642,0.8091559159557359,0.4217495281075999,0.7806033994676709,-5.697949527345578,Q13310,Polyadenylate-binding protein 4,PABPC4,n.s.,n.s.
Q00610,-0.1082293242347312,27.38738084681458,-0.8063880634812319,0.4233315496800958,0.7806033994676709,-5.700063004279876,Q00610,Clathrin heavy chain 1,CLTC,n.s.,n.s.
Q8WUY1,0.22655549808087727,20.800359324207385,0.8057858542500929,0.4236817135615075,0.7806033994676709,-5.700516176627702,Q8WUY1,UPF0670 protein THEM6,THEM6,n.s.,n.s.
P11309,-0.24476321368774023,22.53691212743257,-0.8053985597748496,0.42390329139542926,0.7806033994676709,-5.700811314063955,P11309,Serine/threonine-protein kinase pim-1,PIM1,n.s.,n.s.
P10768,0.16928982357698175,26.88002267761236,0.8052390571212721,0.42399456582702943,0.7806033994676709,-5.700932822653166,P10768,S-formylglutathione hydrolase,ESD,n.s.,n.s.
P51148,-0.1126117848903121,24.04556468712997,-0.805034293476826,0.4241089642889364,0.7806033994676709,-5.701091691173607,P51148,Ras-related protein Rab-5C,RAB5C,n.s.,n.s.
Q09666,-0.1913951727470362,27.820913895340844,-0.803788958929515,0.42482491672394507,0.7806033994676709,-5.702036424659481,Q09666,Neuroblast differentiation-associated protein AHNAK,AHNAK,n.s.,n.s.
Q8NE71,0.10458109590484099,20.271609335963127,0.8036687271570132,0.4248868091551834,0.7806033994676709,-5.7021351440995245,Q8NE71,ATP-binding cassette sub-family F member 1,ABCF1,n.s.,n.s.
Q9BPW8,-0.1622992061400943,21.746627918762226,-0.8027305080648183,0.4254316188452437,0.7806033994676709,-5.702840735830328,Q9BPW8,Protein NipSnap homolog 1,NIPSNAP1,n.s.,n.s.
Q9Y266,0.16593463351957283,21.066170067778984,0.8007356580212958,0.4265764735409818,0.7816875378783447,-5.704353798177378,Q9Y266,Nuclear migration protein nudC,NUDC,n.s.,n.s.
Q9BZZ5,0.13119153307498976,22.0518780280235,0.7986157696642552,0.4277881583767311,0.782891169221229,-5.705964930170064,Q9BZZ5,Apoptosis inhibitor 5,API5,n.s.,n.s.
P62277,-0.07549043315682269,24.484280004417087,-0.7975602422459831,0.42839572124770453,0.7829875164255325,-5.706761966499307,P62277,40S ribosomal protein S13,RPS13,n.s.,n.s.
O14617,0.10192413405437861,20.490264429379785,0.7945891852467043,0.430108628848375,0.7846054596668165,-5.708999903889905,O14617,AP-3 complex subunit delta-1,AP3D1,n.s.,n.s.
Q3ZCQ8,0.1687343170794975,21.039875626823026,0.7937276857452407,0.4306129724250559,0.7846054596668165,-5.709640082207843,Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50,TIMM50,n.s.,n.s.
O00299,0.1236992486520272,24.205313220332545,0.793145824898608,0.43094913624506226,0.7846054596668165,-5.710076952833176,O00299,Chloride intracellular channel protein 1,CLIC1,n.s.,n.s.
Q01105,0.12168047523944736,24.155245683708234,0.7921267772938869,0.4315382562180259,0.7846655663964363,-5.710841316195418,Q01105,Protein SET,SET,n.s.,n.s.
P09493,-0.25767017881805643,22.681110796266548,-0.7881720461788377,0.433829051961648,0.78781569152881,-5.713798570740973,P09493,Tropomyosin alpha-1 chain,TPM1,n.s.,n.s.
Q9Y6C9,-0.12848060830427244,23.23666037098669,-0.7845790906243585,0.43591652849864704,0.7896125180417681,-5.716472755655798,Q9Y6C9,Mitochondrial carrier homolog 2,MTCH2,n.s.,n.s.
P45973,-0.1341164104554089,20.927209634547086,-0.7845319105472095,0.43593774029378973,0.7896125180417681,-5.716514327568747,P45973,Chromobox protein homolog 5,CBX5,n.s.,n.s.
P55072,0.12715434848905005,26.269881435227965,0.7834149771101175,0.43659414128689755,0.7897876068664262,-5.717336626643805,P55072,Transitional endoplasmic reticulum ATPase,VCP,n.s.,n.s.
Q14257,0.18314308109711774,20.313241540569305,0.7824146685350203,0.4371769028820083,0.7898292061030905,-5.718077938689571,Q14257,Reticulocalbin-2,RCN2,n.s.,n.s.
O95825,-0.1379706593098966,23.869433674042174,-0.7806569731088844,0.43820201680981885,0.7899879280076865,-5.7193782942487035,O95825,Quinone oxidoreductase-like protein 1,CRYZL1,n.s.,n.s.
P22314,0.10967023490405481,26.11736097702958,0.7795269008882167,0.4388618400874085,0.7899879280076865,-5.7202128194054715,P22314,Ubiquitin-like modifier-activating enzyme 1,UBA1,n.s.,n.s.
P32969,0.06568547646355327,24.440713232260553,0.7787127514297516,0.4393308148669891,0.7899879280076865,-5.7208203908916415,P32969,60S ribosomal protein L9,RPL9,n.s.,n.s.
Q6ZRV2,0.21405538255583423,19.604470249781887,0.7778618415556311,0.439835096749426,0.7899879280076865,-5.721440262653862,Q6ZRV2,Protein FAM83H,FAM83H,n.s.,n.s.
Q15758,0.2383801308379745,20.428842866608633,0.7761287838178396,0.4408494484528849,0.7899879280076865,-5.722715106550554,Q15758,Neutral amino acid transporter B(0),SLC1A5,n.s.,n.s.
O43324,-0.1362121107026546,21.952725776172734,-0.7753155569019861,0.4413197455767983,0.7899879280076865,-5.723318817197583,O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1,n.s.,n.s.
P60953,0.11359111750384443,22.67617360165038,0.7751965517138686,0.44138893239001775,0.7899879280076865,-5.723406754956734,P60953,Cell division control protein 42 homolog,CDC42,n.s.,n.s.
Q9UJS0,0.19881259506359683,22.558294132285027,0.7746027276811998,0.4417437811467503,0.7899879280076865,-5.723835376574413,Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2,SLC25A13,n.s.,n.s.
O00764,0.2915560689828176,18.484356164480506,0.7709607846483466,0.4438824144907252,0.7914445358802007,-5.726500192540241,O00764,Pyridoxal kinase,PDXK,n.s.,n.s.
P04626;P00533;P80192;Q5TCX8;Q02779,0.5547491082585907,18.45851440236349,0.7705131397936816,0.4441457000210698,0.7914445358802007,-5.726826887165874,P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2,n.s.,n.s.
O95154,-0.3562433481357097,20.67637669489568,-0.7696998487311388,0.4446242770106077,0.7914445358802007,-5.727419958148989,O95154,Aflatoxin B1 aldehyde reductase member 3,AKR7A3,n.s.,n.s.
Q15257,-0.1553483704208567,22.2047411419833,-0.7686889263910308,0.4452195697940855,0.7914445358802007,-5.728156292222965,Q15257,Serine/threonine-protein phosphatase 2A activator,PPP2R4,n.s.,n.s.
Q15005,0.16982297975768645,20.819764719477423,0.76691160717942,0.4462672936014994,0.7914445358802007,-5.729448557394042,Q15005,Signal peptidase complex subunit 2,SPCS2,n.s.,n.s.
P18621,-0.06649816763514593,23.467458983247056,-0.7661663944578286,0.4467003954918618,0.7914445358802007,-5.729996478375094,P18621,60S ribosomal protein L17,RPL17,n.s.,n.s.
Q9P0S9,-0.12286776184520676,20.768564588770662,-0.7659204516013234,0.44684557730205643,0.7914445358802007,-5.73017489732713,Q9P0S9,Transmembrane protein 14C,TMEM14C,n.s.,n.s.
P25786,-0.11814469657090143,22.742356772289963,-0.7655817386546849,0.4470455670421828,0.7914445358802007,-5.730420524461764,P25786,Proteasome subunit alpha type-1,PSMA1,n.s.,n.s.
P48444,-0.08852018458968303,24.121455723884257,-0.7616439197504925,0.4493744449422542,0.7919153130628853,-5.733268338746927,P48444,Coatomer subunit delta,ARCN1,n.s.,n.s.
Q96QR8,0.1585993462493569,20.98723248919302,0.7613995348327928,0.44952578928890996,0.7919153130628853,-5.73343769264855,Q96QR8,Transcriptional activator protein Pur-beta,PURB,n.s.,n.s.
P12236;Q9H0C2,0.11920158180045348,25.446191047626233,0.7597478836723782,0.4505048626319641,0.7919153130628853,-5.734627522807264,P12236,ADP/ATP translocase 3,SLC25A6,n.s.,n.s.
Q9UBE0,0.13437063192820276,19.5555787874086,0.7589502030470844,0.45097160368817446,0.7919153130628853,-5.735208142763157,Q9UBE0,SUMO-activating enzyme subunit 1,SAE1,n.s.,n.s.
P61077;P62837;P51668;Q9Y2X8,0.13861316323088246,21.46326611484085,0.7579044313483841,0.4515941267003566,0.7919153130628853,-5.7359577563816035,P61077;P62837,Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2,UBE2D3;UBE2D2,n.s.,n.s.
P29992;O95837;Q03113;P19086,0.18366114965088087,21.647123887298886,0.7576041377607134,0.4517774886579665,0.7919153130628853,-5.7361680799388415,P29992,Guanine nucleotide-binding protein subunit alpha-11,GNA11,n.s.,n.s.
P37837,-0.1556268091337465,22.90268045190808,-0.7571956330627242,0.45202023224635013,0.7919153130628853,-5.736461159651602,P37837,Transaldolase,TALDO1,n.s.,n.s.
P18669;P15259;Q8N0Y7,0.22358446663337261,21.826987830693138,0.7568674992540139,0.452215272253495,0.7919153130628853,-5.736696465569243,P18669;P15259,Phosphoglycerate mutase 1;Phosphoglycerate mutase 2,PGAM1;PGAM2,n.s.,n.s.
Q15435,-0.18301886031697379,20.424768085866162,-0.7565432307803767,0.452408062679583,0.7919153130628853,-5.736928901535025,Q15435,Protein phosphatase 1 regulatory subunit 7,PPP1R7,n.s.,n.s.
Q6PI47,0.12619653990460478,20.07253275131,0.7544162580721195,0.45366821473313557,0.7919153130628853,-5.738456981652017,Q6PI47,BTB/POZ domain-containing protein KCTD18,KCTD18,n.s.,n.s.
P52907,0.14394759001574187,23.823945110821683,0.7538753568026488,0.4539960271708401,0.7919153130628853,-5.738837534025934,P52907,F-actin-capping protein subunit alpha-1,CAPZA1,n.s.,n.s.
Q8N684,0.1515483860820659,20.940934949224527,0.7537907947194225,0.45404641266327017,0.7919153130628853,-5.738897922907746,Q8N684,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,n.s.,n.s.
P62081,0.07162501359380258,24.90148609920553,0.7528149371768661,0.4546216076468873,0.7919396152959975,-5.739601162326398,P62081,40S ribosomal protein S7,RPS7,n.s.,n.s.
P19971,0.2670575491035727,22.894674772393053,0.7512290627387138,0.45557432872028847,0.7926206878228447,-5.740724204794757,P19971,Thymidine phosphorylase,TYMP,n.s.,n.s.
P21810,0.3993706625388391,24.61370414005927,0.7490027466781373,0.456904598226229,0.7939561429768585,-5.742306420007584,P21810,Biglycan,BGN,n.s.,n.s.
P12268,-0.20652415288705583,22.85127696065922,-0.7466814838845314,0.4582939823138237,0.7939712414017274,-5.743951214151684,P12268,Inosine-5-monophosphate dehydrogenase 2,IMPDH2,n.s.,n.s.
Q92520,-0.13676301486466258,20.814840490829805,-0.7461957537188847,0.45858502185077077,0.7939712414017274,-5.744294758737636,Q92520,Protein FAM3C,FAM3C,n.s.,n.s.
P10620,-0.22648705781646328,23.403541822906575,-0.7461684408456455,0.4586013903206292,0.7939712414017274,-5.744314069933915,P10620,Microsomal glutathione S-transferase 1,MGST1,n.s.,n.s.
P49368,0.0900028530126562,24.39226550676111,0.7409485000768674,0.46172946344807997,0.798407197212305,-5.747998743685787,P49368,T-complex protein 1 subunit gamma,CCT3,n.s.,n.s.
O43615,0.12662942057535886,20.2552126069424,0.7393950617098183,0.4626668261629432,0.7990488270696607,-5.74908610506564,O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44,n.s.,n.s.
P15104,-0.23773067568125228,21.745623473431827,-0.7362857792674197,0.46454604394872345,0.8013135305765877,-5.751256001620755,P15104,Glutamine synthetase,GLUL,n.s.,n.s.
P00738;P00739,0.28653968226643656,19.909619289368155,0.7331691429750886,0.46642986173690937,0.8035113002366682,-5.753426420896287,P00738,Haptoglobin;Haptoglobin alpha chain;Haptoglobin beta chain,HP,n.s.,n.s.
Q00839,-0.07774989570657809,26.653927969281686,-0.7311182216766688,0.46766561091159775,0.8035113002366682,-5.75485634988307,Q00839,Heterogeneous nuclear ribonucleoprotein U,HNRNPU,n.s.,n.s.
Q9BXP5,-0.09133644716838063,21.90151083274382,-0.7301229518179208,0.46826902857091,0.8035113002366682,-5.7555456445158475,Q9BXP5,Serrate RNA effector molecule homolog,SRRT,n.s.,n.s.
Q9P035,-0.1618761456185922,24.19818587066898,-0.7288791470051049,0.46903000739293743,0.8035113002366682,-5.75639920118419,Q9P035,3-hydroxyacyl-CoA dehydratase 3,PTPLAD1,n.s.,n.s.
Q9BR76;A9Z1Z3,0.20219666089955624,22.474573893200716,0.7277387787726887,0.469722560973977,0.8035113002366682,-5.757186548557968,Q9BR76,Coronin-1B,CORO1B,n.s.,n.s.
P51610,0.0925532513372751,21.316936695624264,0.7265246740157246,0.470454299223103,0.8035113002366682,-5.758030023206031,P51610,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,HCFC1,n.s.,n.s.
Q9BSJ8,0.1293866703872304,23.327840724415097,0.7262546340561581,0.4706247604344935,0.8035113002366682,-5.758209439737975,Q9BSJ8,Extended synaptotagmin-1,ESYT1,n.s.,n.s.
Q96CW1,-0.08181539377107683,21.541397002759226,-0.7261882709452542,0.4706588951901851,0.8035113002366682,-5.758261672509933,Q96CW1,AP-2 complex subunit mu,AP2M1,n.s.,n.s.
Q9BWF3;Q9BQ04,0.1581074565361753,20.99094367900036,0.7235177328174978,0.47229107197149434,0.8035113002366682,-5.760090375422076,Q9BWF3;Q9BQ04,RNA-binding protein 4;RNA-binding protein 4B,RBM4;RBM4B,n.s.,n.s.
Q9HDC9,0.13739861004009413,24.448367766074515,0.7233924973589833,0.4723673989738829,0.8035113002366682,-5.760176276839409,Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP,n.s.,n.s.
Q6DD88,0.1670444180588717,22.50276844912574,0.723097339053306,0.4725473160890905,0.8035113002366682,-5.76037867391612,Q6DD88,Atlastin-3,ATL3,n.s.,n.s.
Q6P996;Q6P474,-0.18748297142210646,24.075104788269137,-0.7229228337186767,0.47265370602156953,0.8035113002366682,-5.76049829826585,Q6P996,Pyridoxal-dependent decarboxylase domain-containing protein 1,PDXDC1,n.s.,n.s.
P18124,-0.07597425372936684,25.3395436352195,-0.7171424203749637,0.4761793257175636,0.8072735879579378,-5.76445123603544,P18124,60S ribosomal protein L7,RPL7,n.s.,n.s.
P63220,-0.12596244300958404,21.428932031347003,-0.716185451645167,0.4767659730352908,0.8072735879579378,-5.765101044489133,P63220,40S ribosomal protein S21,RPS21,n.s.,n.s.
P00751,-0.19084308782302983,20.53902655783545,-0.7160868820521974,0.47683198520286574,0.8072735879579378,-5.765162090529192,P00751,Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment,CFB,n.s.,n.s.
Q8TCQ1,0.09999293620940364,20.282764715870172,0.7133488780751845,0.4785052135056359,0.8072735879579378,-5.767024284496652,Q8TCQ1,E3 ubiquitin-protein ligase MARCH1,41334.0,n.s.,n.s.
Q9HCY8,0.2558039895700226,21.386976356543894,0.712811328362587,0.4788414061216948,0.8072735879579378,-5.767381410905978,Q9HCY8,Protein S100-A14,S100A14,n.s.,n.s.
P10909,0.24022405525621693,22.22496901578767,0.7123859814262637,0.4791026871388949,0.8072735879579378,-5.767668868131147,P10909,Clusterin;Clusterin beta chain;Clusterin alpha chain,CLU,n.s.,n.s.
P48730,0.22344308348751696,24.771807042570057,0.7119174577743567,0.4793905830614741,0.8072735879579378,-5.767985310052899,P48730,Casein kinase I isoform delta,CSNK1D,n.s.,n.s.
O75396,-0.15448063919603072,25.85179300193859,-0.7118307946033857,0.47944384600195034,0.8072735879579378,-5.768043820158557,O75396,Vesicle-trafficking protein SEC22b,SEC22B,n.s.,n.s.
P12109,0.3077051891824034,25.18903864509407,0.7076067744591696,0.48204393012837743,0.8086958518853453,-5.770887165554216,P12109,Collagen alpha-1(VI) chain,COL6A1,n.s.,n.s.
P23634,0.16775930732767108,21.05541196824512,0.7071379339323206,0.4823330080643379,0.8086958518853453,-5.771201735295313,P23634,Plasma membrane calcium-transporting ATPase 4,ATP2B4,n.s.,n.s.
Q8N6H7,-0.10194045774376548,20.86801000126317,-0.7067329743151912,0.4825767395344447,0.8086958518853453,-5.771479605066635,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,n.s.,n.s.
Q15836,-0.11749131857553152,21.91558886781187,-0.7061726063088004,0.4829224837009578,0.8086958518853453,-5.771855099188382,Q15836,Vesicle-associated membrane protein 3,VAMP3,n.s.,n.s.
P54578,-0.14902259414670382,22.67284230040251,-0.7057307385533229,0.48320123777019885,0.8086958518853453,-5.772144667397172,P54578,Ubiquitin carboxyl-terminal hydrolase 14,USP14,n.s.,n.s.
P08621,0.080483505751765,22.866294153838496,0.7032924547384587,0.48470169897738735,0.8086958518853453,-5.773780430648953,P08621,U1 small nuclear ribonucleoprotein 70 kDa,SNRNP70,n.s.,n.s.
Q12874,-0.07980116000710424,21.92105212586373,-0.7031191552947389,0.4848088709459685,0.8086958518853453,-5.77389603188384,Q12874,Splicing factor 3A subunit 3,SF3A3,n.s.,n.s.
P51572,0.13132998615075664,24.47728185660512,0.7030241506743012,0.48487362912473575,0.8086958518853453,-5.773953110197603,P51572,B-cell receptor-associated protein 31,BCAP31,n.s.,n.s.
P42127,0.13790072104900375,24.285502188613666,0.7012964834874892,0.48594282916256504,0.8095222337052883,-5.775103906052409,P42127,Agouti-signaling protein,ASIP,n.s.,n.s.
P01024,0.2546667109457914,23.985911127974717,0.6985989589652654,0.4876148581339971,0.8113497226734314,-5.776895161412248,P01024,Complement C3;Complement C3 beta chain;Complement C3 alpha chain;C3a anaphylatoxin;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,n.s.,n.s.
Q8NC56,0.1317022371453227,20.997192738363378,0.6955480397815509,0.48950976859338347,0.8135433256599106,-5.778912912500791,Q8NC56,LEM domain-containing protein 2,LEMD2,n.s.,n.s.
Q9Y6K5,-0.24378832371075276,20.871817166726192,-0.6945530897300578,0.4901286056288774,0.8136134853439364,-5.779569055241623,Q9Y6K5,2-5-oligoadenylate synthase 3,OAS3,n.s.,n.s.
O00567,-0.11089335292890823,23.586158698689573,-0.6916745387072487,0.49192143063474136,0.8156300101358637,-5.781462185204662,O00567,Nucleolar protein 56,NOP56,n.s.,n.s.
Q99436,-0.14779924348056994,20.56824274762528,-0.6890896703642343,0.49353441608177384,0.8169177575910669,-5.783155586367396,Q99436,Proteasome subunit beta type-7,PSMB7,n.s.,n.s.
Q8NCL4,0.2541830466605397,21.45624303993098,0.688574840459365,0.4938560221298228,0.8169177575910669,-5.783492118158669,Q8NCL4,Polypeptide N-acetylgalactosaminyltransferase 6,GALNT6,n.s.,n.s.
Q9NVA2,0.13825847821480153,21.83021986786579,0.6870662892701122,0.494799052429707,0.817519277492174,-5.784476798119809,Q9NVA2,Septin-11,41528.0,n.s.,n.s.
Q13797,0.11330617107350349,25.221466032838048,0.6842110001293872,0.4965866604716189,0.8186421160857091,-5.7863347267050544,Q13797,Integrin alpha-9,ITGA9,n.s.,n.s.
P52803,-0.1460200718015443,21.66073856089187,-0.684127459455296,0.49663901585355563,0.8186421160857091,-5.786388971880785,P52803,Ephrin-A5,EFNA5,n.s.,n.s.
P12273,-0.33911840309371755,21.343319770965174,-0.6807547294711682,0.4987552434214185,0.8197428832950004,-5.788573537283319,P12273,Prolactin-inducible protein,PIP,n.s.,n.s.
P61313,0.07714110095546545,24.28504880994798,0.6805372098722468,0.4988861183066776,0.8197428832950004,-5.788720085719247,P61313,60S ribosomal protein L15,RPL15,n.s.,n.s.
P26368,0.0775986157333044,22.449559602047053,0.678580099003956,0.5001165669623937,0.8197428832950004,-5.789982447528922,P26368,Splicing factor U2AF 65 kDa subunit,U2AF2,n.s.,n.s.
P38606,-0.1197364350736656,26.150821390182866,-0.6785258964380849,0.5001564250527024,0.8197428832950004,-5.790011359633732,P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,n.s.,n.s.
Q14166,-0.19240027979574492,20.974686187813862,-0.6784381384904321,0.5002116389206204,0.8197428832950004,-5.790067877511338,Q14166,Tubulin--tyrosine ligase-like protein 12,TTLL12,n.s.,n.s.
O96008,-0.1122220027916363,21.530611158120127,-0.6771803340605856,0.5009976209652471,0.8200784723688674,-5.790883121416975,O96008,Mitochondrial import receptor subunit TOM40 homolog,TOMM40,n.s.,n.s.
P34932,-0.11488846608484948,23.787904940924076,-0.6751158869571422,0.5023043080227806,0.8212646333952994,-5.79220218728626,P34932,Heat shock 70 kDa protein 4,HSPA4,n.s.,n.s.
Q6P2Q9,0.09188649822571548,23.025439051586833,0.6739166490916187,0.5030551559550767,0.8215403067738578,-5.792976024951121,Q6P2Q9,Pre-mRNA-processing-splicing factor 8,PRPF8,n.s.,n.s.
Q08945,0.1052573415498479,22.744740031103227,0.6722246420197919,0.5041238558469922,0.8223338272833595,-5.794056934459052,Q08945,FACT complex subunit SSRP1,SSRP1,n.s.,n.s.
Q9NY33,-0.22782898404536667,22.72109754129961,-0.6691174234869349,0.5060947138276637,0.8238540490481442,-5.79602967508495,Q9NY33,Dipeptidyl peptidase 3,DPP3,n.s.,n.s.
Q14978,-0.18368803510770704,20.78897216956265,-0.6689139277469789,0.506223572306691,0.8238540490481442,-5.796158932005047,Q14978,Nucleolar and coiled-body phosphoprotein 1,NOLC1,n.s.,n.s.
P00568,-0.21958855261967614,21.33017658840856,-0.666641252391128,0.5076638885243494,0.8252462519675772,-5.7975998675194615,P00568,Adenylate kinase isoenzyme 1,AK1,n.s.,n.s.
Q9UBQ7,-0.1292876966506462,20.42218440732917,-0.6642724554759799,0.5091674686553029,0.8267379726957795,-5.79909661167132,Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,GRHPR,n.s.,n.s.
P10586;P23468,-0.1712884011598419,20.427703153830787,-0.6606904265499022,0.511445680046535,0.8294825914317941,-5.801349989232225,P10586,Receptor-type tyrosine-protein phosphatase F,PTPRF,n.s.,n.s.
Q3SXM5,-0.29206349045488267,18.568120571705165,-0.6576999448462366,0.513351835979919,0.8316181866448514,-5.80322205366986,Q3SXM5,Inactive hydroxysteroid dehydrogenase-like protein 1,HSDL1,n.s.,n.s.
Q07020,0.057232058035513234,25.207181382214845,0.6509619723981739,0.5176550596970297,0.8376276252666387,-5.807415104672764,Q07020,60S ribosomal protein L18,RPL18,n.s.,n.s.
Q9Y224,-0.11496623844307763,21.697922136741568,-0.6495366862525148,0.5185694095649439,0.8381459758260433,-5.808294934268942,Q9Y224,UPF0568 protein C14orf166,C14orf166,n.s.,n.s.
Q8IXI1;Q8IXI2,-0.08563404661439122,20.480124380792113,-0.6473843840772258,0.5199506250910564,0.8394168558392227,-5.809621137168306,Q8IXI1,Mitochondrial Rho GTPase 2,RHOT2,n.s.,n.s.
Q71U36;Q13748;Q6PEY2,0.1592814578286621,22.114340087853325,0.6423790043176478,0.5231767549229924,0.8424959374789058,-5.812681929070729,Q71U36;Q13748;Q6PEY2,Tubulin alpha-1A chain;Tubulin alpha-3C/D chain;Tubulin alpha-3E chain,TUBA1A;TUBA3C;TUBA3E,n.s.,n.s.
Q9NR46,-0.1121171894672095,20.274215833313978,-0.6405942568018211,0.5243255309285253,0.8424959374789058,-5.813771844604502,Q9NR46,Endophilin-B2,SH3GLB2,n.s.,n.s.
P20339,0.11515744432496078,20.979744543697823,0.6399211894027341,0.5247590132906079,0.8424959374789058,-5.814182195078117,P20339,Ras-related protein Rab-5A,RAB5A,n.s.,n.s.
P28288,-0.17806198929935135,22.809992061529396,-0.6398587264405681,0.5248023805696572,0.8424959374789058,-5.814217037559982,P28288,ATP-binding cassette sub-family D member 3,ABCD3,n.s.,n.s.
P62699;Q8TD46,-0.05971729598837072,25.132592433780086,-0.6395016003448505,0.5250275753870747,0.8424959374789058,-5.814439607672268,P62699,Protein yippee-like 5,YPEL5,n.s.,n.s.
O00483,-0.13338335940864,22.13852200315955,-0.6388706763827349,0.5254404145864189,0.8424959374789058,-5.814817239682424,O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,NDUFA4,n.s.,n.s.
P42702,0.10070261262088565,24.776631002556858,0.6363831210297757,0.527048556573526,0.8436356228500367,-5.816324287059487,P42702,Leukemia inhibitory factor receptor,LIFR,n.s.,n.s.
P04406,0.09136211414543993,28.17320400231729,0.6359219088655347,0.5273470016681306,0.8436356228500367,-5.816603068872718,P04406,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,n.s.,n.s.
Q14195;Q14117,0.10096286521675779,20.126241809245546,0.6330116785222089,0.5292272561354969,0.8456847773580818,-5.818362664508857,Q14195,Dihydropyrimidinase-related protein 3,DPYSL3,n.s.,n.s.
P60900,0.07651218036169283,23.05784623267734,0.6307506673980432,0.5306940123335209,0.8464395423799445,-5.819720630304323,P60900,Proteasome subunit alpha type-6,PSMA6,n.s.,n.s.
P13798,0.16750033438873047,23.11667748673752,0.6296535452599483,0.5314119419246195,0.8464395423799445,-5.820372262701873,P13798,Acylamino-acid-releasing enzyme,APEH,n.s.,n.s.
Q05519,0.07327872109038225,21.402553736504284,0.6295110769241106,0.5314992448962657,0.8464395423799445,-5.820462901959443,Q05519,Serine/arginine-rich splicing factor 11,SRSF11,n.s.,n.s.
Q66K74,0.10621699382356908,19.55439139560765,0.6280093182750106,0.5324756315202854,0.8470384623169366,-5.8213602330947385,Q66K74,Microtubule-associated protein 1S;MAP1S heavy chain;MAP1S light chain,MAP1S,n.s.,n.s.
Q02790,0.1594463100093897,24.835084815218416,0.6270732794264291,0.5330899304868035,0.8470606890955853,-5.821913096981993,Q02790,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,n.s.,n.s.
